OrderID,CustomerID,ProductID,OrderDate,Revenue,Quantity,Region,Status,CreatedDate,UpdatedDate,CDCOperation,CDCBatchID
ORD00000001,CUST010344,PROD00320,11/19/2025,2861.77,2,APAC,Shipped,11/19/2025 17:24,12/15/2025 23:26,U,BATCH_20251119_002
ORD00000002,CUST005235,PROD00401,10/21/2024,191.4,4,North America,Completed,10/21/2024 16:36,10/21/2024 16:36,I,BATCH_20241021_137
ORD00000003,CUST001607,PROD00453,10/29/2025,1284.97,2,EMEA,Completed,10/29/2025 13:32,11/1/2025 19:21,U,BATCH_20251029_017
ORD00000004,CUST006708,PROD00383,12/24/2024,5353.09,4,EMEA,Completed,12/24/2024 7:53,1/19/2025 18:19,D,BATCH_20241224_049
ORD00000005,CUST007661,PROD00108,11/6/2024,6610.38,14,LATAM,Completed,11/6/2024 2:19,11/24/2024 14:15,U,BATCH_20241106_083
ORD00000006,CUST001791,PROD00438,10/17/2023,9907.87,7,APAC,Shipped,10/17/2023 20:16,10/17/2023 20:16,I,BATCH_20231017_066
ORD00000007,CUST006035,PROD00232,1/22/2024,6399.96,5,LATAM,Pending,1/22/2024 14:32,2/4/2024 14:33,U,BATCH_20240122_025
ORD00000008,CUST014282,PROD00104,9/9/2024,3073.33,3,LATAM,Completed,9/9/2024 6:57,9/9/2024 6:57,I,BATCH_20240909_098
ORD00000009,CUST006517,PROD00384,8/11/2024,8669.82,8,EMEA,Pending,8/11/2024 9:30,8/30/2024 15:38,U,BATCH_20240811_185
ORD00000010,CUST009680,PROD00026,5/28/2023,2631.09,2,EMEA,Completed,5/28/2023 21:44,5/28/2023 21:44,I,BATCH_20230528_156
ORD00000011,CUST000759,PROD00112,7/27/2023,256.18,1,APAC,Shipped,7/27/2023 15:33,7/27/2023 15:33,I,BATCH_20230727_087
ORD00000012,CUST013070,PROD00105,8/24/2025,930.97,2,APAC,Completed,8/24/2025 13:59,8/24/2025 13:59,I,BATCH_20250824_116
ORD00000013,CUST009213,PROD00254,7/21/2023,3125.39,5,LATAM,Shipped,7/21/2023 12:54,7/21/2023 12:54,I,BATCH_20230721_144
ORD00000014,CUST003328,PROD00376,6/23/2024,135.03,1,EMEA,Completed,6/23/2024 22:26,6/23/2024 22:26,I,BATCH_20240623_132
ORD00000015,CUST007591,PROD00003,6/19/2025,2216.78,6,North America,Completed,6/19/2025 8:25,6/19/2025 8:25,I,BATCH_20250619_157
ORD00000016,CUST007673,PROD00434,6/24/2023,247.63,1,LATAM,Pending,6/24/2023 0:23,6/24/2023 0:23,I,BATCH_20230624_089
ORD00000017,CUST005830,PROD00043,2/15/2025,207.35,1,APAC,Completed,2/15/2025 1:22,3/9/2025 3:41,U,BATCH_20250215_158
ORD00000018,CUST004122,PROD00430,4/25/2024,1052.55,2,LATAM,Completed,4/25/2024 6:10,5/2/2024 23:39,U,BATCH_20240425_175
ORD00000019,CUST009097,PROD00475,2/4/2025,4343.11,10,APAC,Pending,2/4/2025 0:42,3/5/2025 13:07,U,BATCH_20250204_188
ORD00000020,CUST014472,PROD00302,4/13/2025,597.65,6,EMEA,Cancelled,4/13/2025 17:14,4/13/2025 17:14,I,BATCH_20250413_051
ORD00000021,CUST008759,PROD00464,8/25/2023,6120.28,7,APAC,Completed,8/25/2023 6:06,8/25/2023 6:06,I,BATCH_20230825_007
ORD00000022,CUST013193,PROD00166,7/1/2025,4023.32,3,LATAM,Processing,7/1/2025 17:38,7/1/2025 17:38,I,BATCH_20250701_185
ORD00000023,CUST002769,PROD00370,10/14/2023,117.36,1,APAC,Pending,10/14/2023 13:30,10/14/2023 13:30,I,BATCH_20231014_107
ORD00000024,CUST001718,PROD00039,6/12/2025,11596.05,11,North America,Processing,6/12/2025 3:28,6/12/2025 3:28,I,BATCH_20250612_184
ORD00000025,CUST014897,PROD00371,6/9/2025,1285.81,2,EMEA,Processing,6/9/2025 19:24,6/9/2025 19:24,I,BATCH_20250609_199
ORD00000026,CUST008295,PROD00180,9/9/2023,3212.41,5,EMEA,Completed,9/9/2023 9:58,10/2/2023 6:20,U,BATCH_20230909_152
ORD00000027,CUST014775,PROD00066,4/21/2025,2556.74,3,North America,Completed,4/21/2025 11:53,4/21/2025 11:53,I,BATCH_20250421_055
